预测值：0.5546666668 真实值：0.543333333 误差：2.08588965772%
预测值：0.6477777778 真实值：0.656666667 误差：1.35363794855%
预测值：0.5825555555999999 真实值：0.572777778 误差：1.70708047266%
预测值：0.5544444444000001 真实值：0.551666667 误差：0.503524603925%
预测值：0.6055555556 真实值：0.62 误差：2.32974909677%
预测值：0.5763333335999999 真实值：0.539444444 误差：6.83831115702%
预测值：0.6021111111999999 真实值：0.631666667 误差：4.67897980756%
预测值：0.6407777778 真实值：0.638333333 误差：0.382941744325%
预测值：0.5842222222 真实值：0.588888889 误差：0.792452852681%
预测值：0.616111111 真实值：0.611111111 误差：0.818181818331%
预测值：0.5932222221999999 真实值：0.587222222 误差：1.0217597317%
预测值：0.5720000002 真实值：0.539444444 误差：6.03501557243%
预测值：0.6027777776 真实值：0.646111111 误差：6.70679278877%
预测值：0.5871111109999999 真实值：0.591111111 误差：0.676691729451%
预测值：0.6137777776 真实值：0.590555556 误差：3.93226706007%
预测值：0.6253333334 真实值：0.639444444 误差：2.2067766375%
预测值：0.5400000001999999 真实值：0.546666667 误差：1.21951221877%
预测值：0.6228888888 真实值：0.61 误差：2.11293259016%
预测值：0.5585555556 真实值：0.562777778 误差：0.750246823001%
预测值：0.5504444447999999 真实值：0.522222222 误差：5.40425543209%
预测值：0.5378888890000001 真实值：0.502777778 误差：6.98342538918%
预测值：0.5593333333999999 真实值：0.541666667 误差：3.2615384103%
预测值：0.5904444445999999 真实值：0.591666667 误差：0.206572799884%
预测值：0.5784444444 真实值：0.575 误差：0.599033808696%
预测值：0.4836666664000001 真实值：0.515 误差：6.0841424466%
预测值：0.5798888888 真实值：0.567222222 误差：2.2331048236%
预测值：0.5876666668 真实值：0.549444444 误差：6.95652184991%
预测值：0.5780000000000001 真实值：0.603333333 误差：4.1988949747%
预测值：0.5163333334000001 真实值：0.506666667 误差：1.90789468296%
预测值：0.6112222222 真实值：0.640555556 误差：4.57935826569%
预测值：0.551888889 真实值：0.532222222 误差：3.69519839403%
预测值：0.5099999998 真实值：0.575 误差：11.3043478609%
