预测值：0.552215576171875 真实值：0.543333333 误差：1.63476868294%
预测值：0.6431427001953125 真实值：0.656666667 误差：2.05948732962%
预测值：0.5843963623046875 真实值：0.572777778 误差：2.02846282641%
预测值：0.5260162353515625 真实值：0.551666667 误差：4.64962506941%
预测值：0.606536865234375 真实值：0.62 误差：2.17147334929%
预测值：0.5854339599609375 真实值：0.539444444 误差：8.52534797095%
预测值：0.6092376708984375 真实值：0.631666667 误差：3.55076455246%
预测值：0.609222412109375 真实值：0.638333333 误差：4.56045758316%
预测值：0.5808868408203125 真实值：0.588888889 误差：1.35883836988%
预测值：0.6002349853515625 真实值：0.611111111 误差：1.77972965189%
预测值：0.5705108642578125 真实值：0.587222222 误差：2.84583197231%
预测值：0.5850677490234375 真实值：0.539444444 误差：8.45746128835%
预测值：0.5980377197265625 真实值：0.646111111 误差：7.4404216945%
预测值：0.576995849609375 真实值：0.591111111 误差：2.38792016052%
预测值：0.6037445068359375 真实值：0.590555556 误差：2.23331246348%
预测值：0.6334075927734375 真实值：0.639444444 误差：0.944077516539%
预测值：0.5666351318359375 真实值：0.546666667 误差：3.65276795557%
预测值：0.6117095947265625 真实值：0.61 误差：0.280261430584%
预测值：0.5204620361328125 真实值：0.562777778 误差：7.51908542259%
预测值：0.5529632568359375 真实值：0.522222222 误差：5.8865811413%
预测值：0.5625 真实值：0.502777778 误差：11.8784529892%
预测值：0.5524139404296875 真实值：0.541666667 误差：1.98411201657%
预测值：0.5899658203125 真实值：0.591666667 误差：0.287467045613%
预测值：0.601318359375 真实值：0.575 误差：4.57710597826%
预测值：0.1763916015625 真实值：0.515 误差：65.7492035801%
预测值：0.5786590576171875 真实值：0.567222222 误差：2.01628835642%
预测值：0.5731353759765625 真实值：0.549444444 误差：4.31179753208%
预测值：0.5833282470703125 真实值：0.603333333 误差：3.31576010068%
预测值：0.1699676513671875 真实值：0.506666667 误差：66.4537530417%
预测值：0.63812255859375 真实值：0.640555556 误差：0.379826134277%
预测值：0.5602874755859375 真实值：0.532222222 误差：5.27322092649%
预测值：0.497406005859375 真实值：0.575 误差：13.4946076766%
预测值：0.5724029541015625 真实值：0.618888889 误差：7.51119235208%
预测值：0.6379852294921875 真实值：0.468333333 误差：36.224604259%
预测值：0.5719757080078125 真实值：0.541666667 误差：5.59551525954%
预测值：0.5741119384765625 真实值：0.58 误差：1.01518302128%
预测值：0.6546173095703125 真实值：0.648333333 误差：0.969250885379%
预测值：0.601226806640625 真实值：0.608888889 误差：1.25837119018%
预测值：0.5667877197265625 真实值：0.565555556 误差：0.217867849319%
预测值：0.5880584716796875 真实值：0.599444444 误差：1.89942077773%
预测值：0.6118316650390625 真实值：0.629444444 误差：2.79814670363%
预测值：0.4845123291015625 真实值：0.563333333 误差：13.9918941914%
预测值：0.5875091552734375 真实值：0.580555556 误差：1.19774915623%
预测值：0.6118011474609375 真实值：0.637777778 误差：4.07299084965%
预测值：0.623321533203125 真实值：0.606111111 误差：2.83948304045%
预测值：0.5786285400390625 真实值：0.570555556 误差：1.41493391032%
预测值：0.5966033935546875 真实值：0.581111111 误差：2.66597596594%
预测值：0.6373748779296875 真实值：0.633333333 误差：0.638138673444%
预测值：0.6418304443359375 真实值：0.590555556 误差：8.68248343699%
预测值：0.5597686767578125 真实值：0.566666667 误差：1.21729239496%
预测值：0.582366943359375 真实值：0.549444444 误差：5.9919614656%
预测值：0.5504608154296875 真实值：0.563333333 误差：2.28506229194%
预测值：0.6089019775390625 真实值：0.618333333 误差：1.52528659828%
预测值：0.5602874755859375 真实值：0.571666667 误差：1.99052910917%
预测值：0.6310577392578125 真实值：0.646666667 误差：2.41375171147%
预测值：0.6123199462890625 真实值：0.614444444 误差：0.345759121379%
预测值：0.5691680908203125 真实值：0.539444444 误差：5.51004781881%
预测值：0.55987548828125 真实值：0.564444444 误差：0.809460659471%
预测值：0.5796356201171875 真实值：0.580555556 误差：0.158457855291%
预测值：0.541717529296875 真实值：0.522222222 误差：3.73314395205%
预测值：0.6174163818359375 真实值：0.649444444 误差：4.93160923309%
预测值：0.5706939697265625 真实值：0.593888889 误差：3.90559912857%
预测值：0.57037353515625 真实值：0.575555556 误差：0.900351111153%
预测值：0.6359405517578125 真实值：0.632777778 误差：0.499823771911%
预测值：0.56219482421875 真实值：0.578333333 误差：2.79052025197%
预测值：0.5840606689453125 真实值：0.604444444 误差：3.37231572844%
预测值：0.531005859375 真实值：0.537777778 误差：1.25924106611%
预测值：0.5969696044921875 真实值：0.594444444 误差：0.424793354144%
预测值：0.6305084228515625 真实值：0.614444444 误差：2.61439077339%
预测值：0.5679473876953125 真实值：0.577222222 误差：1.60680478873%
预测值：0.5470733642578125 真实值：0.556666667 误差：1.72334779697%
预测值：0.600616455078125 真实值：0.584444444 误差：2.76707414095%
预测值：1.0137481689453125 真实值：0.483333333 误差：109.741000616%
预测值：0.5814971923828125 真实值：0.562777778 误差：3.32625329474%
预测值：0.6007232666015625 真实值：0.588333333 误差：2.10593772384%
预测值：0.5805511474609375 真实值：0.575 误差：0.965416949728%
预测值：0.5611724853515625 真实值：0.58 误差：3.24612321525%
预测值：0.586700439453125 真实值：0.592222222 误差：0.93238354485%
预测值：0.6671295166015625 真实值：0.604444444 误差：10.370692166%
预测值：0.5775146484375 真实值：0.559444444 误差：3.23002661503%
预测值：0.646484375 真实值：0.643888889 误差：0.403095323485%
预测值：0.6151123046875 真实值：0.588333333 误差：4.55166657836%
预测值：0.6186676025390625 真实值：0.611666667 误差：1.14456711748%
预测值：0.6265411376953125 真实值：0.620555556 误差：0.964552107775%
预测值：0.56585693359375 真实值：0.571111111 误差：0.919992153024%
预测值：0.4999847412109375 真实值：0.506666667 误差：1.31880114171%
预测值：0.6015777587890625 真实值：0.585555556 误差：2.73623956342%
预测值：0.586151123046875 真实值：0.575555556 误差：1.84092863607%
预测值：0.6475067138671875 真实值：0.632222222 误差：2.41758219425%
预测值：0.5645599365234375 真实值：0.542777778 误差：4.01308959326%
预测值：0.5342254638671875 真实值：0.565555556 误差：5.53970194447%
预测值：0.5538482666015625 真实值：0.561666667 误差：1.39200007011%
预测值：0.6342010498046875 真实值：0.629444444 误差：0.755683182214%
预测值：0.5549468994140625 真实值：0.530555556 误差：4.59732126791%
预测值：0.60748291015625 真实值：0.618888889 误差：1.84297683259%
预测值：0.5967864990234375 真实值：0.592777778 误差：0.676260341095%
预测值：0.5697174072265625 真实值：0.597777778 误差：4.69411406816%
预测值：0.6114959716796875 真实值：0.624444444 误差：2.07359877163%
预测值：0.56640625 真实值：0.567222222 误差：0.143854025522%
预测值：0.646942138671875 真实值：0.651111111 误差：0.640285852552%
预测值：0.55670166015625 真实值：0.573333333 误差：2.90087317211%
预测值：0.6201019287109375 真实值：0.618888889 误差：0.19600282579%
预测值：0.5894927978515625 真实值：0.583333333 误差：1.05590826087%
预测值：0.5897674560546875 真实值：0.596111111 误差：1.06417324359%
预测值：0.6557159423828125 真实值：0.634444444 误差：3.35277557932%
预测值：0.5728912353515625 真实值：0.602222222 误差：4.87045903936%
预测值：0.5941162109375 真实值：0.608333333 误差：2.33706116224%
预测值：0.6081085205078125 真实值：0.589444444 误差：3.16638432982%
预测值：0.5170440673828125 真实值：0.558333333 误差：7.39509235376%
预测值：0.6138763427734375 真实值：0.617222222 误差：0.542086643563%
预测值：0.6296539306640625 真实值：0.637222222 误差：1.18770047162%
预测值：0.5489959716796875 真实值：0.547777778 误差：0.222388298433%
预测值：0.5537567138671875 真实值：0.571111111 误差：3.03870766976%
预测值：0.5498504638671875 真实值：0.578333333 误差：4.92499178373%
预测值：0.6174468994140625 真实值：0.622777778 误差：0.85598407237%
预测值：1.23760986328125 真实值：0.468333333 误差：164.258333985%
预测值：0.62493896484375 真实值：0.629444444 误差：0.715786627271%
预测值：0.605316162109375 真实值：0.559444444 误差：8.1995126775%
预测值：0.561737060546875 真实值：0.576666667 误差：2.58894909442%
预测值：0.5785980224609375 真实值：0.606111111 误差：4.53928133633%
预测值：0.5841827392578125 真实值：0.583888889 误差：0.0503263999964%
预测值：0.6103668212890625 真实值：0.62 误差：1.55373850176%
预测值：0.5856475830078125 真实值：0.563333333 误差：3.96110947119%
预测值：0.5946044921875 真实值：0.623333333 误差：4.60890494565%
预测值：0.5653839111328125 真实值：0.579444444 误差：2.42655409208%
预测值：0.6367034912109375 真实值：0.616111111 误差：3.34231599516%
预测值：0.6162567138671875 真实值：0.648888889 误差：5.02893109837%
预测值：0.60882568359375 真实值：0.623333333 误差：2.32743038727%
预测值：0.6044921875 真实值：0.585 误差：3.33199786325%
预测值：0.5851593017578125 真实值：0.619444444 误差：5.53482117311%
预测值：0.5623626708984375 真实值：0.547777778 误差：2.66255651182%
预测值：0.6252899169921875 真实值：0.616111111 误差：1.48979718566%
预测值：0.6157379150390625 真实值：0.624444444 误差：1.3942839983%
预测值：0.65625 真实值：0.620555556 误差：5.75201424834%
预测值：0.5785369873046875 真实值：0.582222222 误差：0.632960157833%
预测值：0.5759124755859375 真实值：0.586666667 误差：1.83310080817%
预测值：0.62908935546875 真实值：0.663333333 误差：5.16240867565%
预测值：0.6316070556640625 真实值：0.607222222 误差：4.01580060488%
预测值：0.6400604248046875 真实值：0.657222222 误差：2.61126246509%
预测值：0.6205291748046875 真实值：0.607222222 误差：2.19144694027%
预测值：0.5745086669921875 真实值：0.57 误差：0.790994209156%
预测值：0.243072509765625 真实值：0.46 误差：47.158150051%
预测值：0.563751220703125 真实值：0.599444444 误差：5.95438387229%
预测值：0.6266326904296875 真实值：0.669444444 误差：6.39511672014%
预测值：0.5897979736328125 真实值：0.601111111 误差：1.88203763999%
预测值：0.6322479248046875 真实值：0.645 误差：1.97706592175%
预测值：0.6401519775390625 真实值：0.604444444 误差：5.90749636191%
预测值：0.565216064453125 真实值：0.575555556 误差：1.79643675386%
预测值：0.5803070068359375 真实值：0.616111111 误差：5.8113063577%
预测值：0.404388427734375 真实值：0.538333333 误差：24.8814065663%
预测值：0.5778350830078125 真实值：0.47 误差：22.9436346825%
预测值：0.6080169677734375 真实值：0.611111111 误差：0.506314346257%
预测值：0.5687713623046875 真实值：0.55 误差：3.41297496449%
预测值：0.6287689208984375 真实值：0.633888889 误差：0.807707500543%
预测值：0.641387939453125 真实值：0.655555556 误差：2.16116184467%
预测值：0.6345672607421875 真实值：0.614444444 误差：3.27496113582%
预测值：0.6281585693359375 真实值：0.638333333 误差：1.59395775499%
预测值：0.5612335205078125 真实值：0.556111111 误差：0.921112598991%
预测值：0.6136627197265625 真实值：0.64 误差：4.11520004272%
预测值：0.5691070556640625 真实值：0.558333333 误差：1.92962197083%
预测值：0.60504150390625 真实值：0.622222222 误差：2.76118683748%
预测值：0.6101837158203125 真实值：0.617777778 误差：1.22925466893%
预测值：0.58642578125 真实值：0.558888889 误差：4.9270781352%
预测值：0.557861328125 真实值：0.562777778 误差：0.873604123544%
预测值：0.5374603271484375 真实值：0.567222222 误差：5.24695501996%
预测值：0.5492095947265625 真实值：0.528333333 误差：3.95134291604%
预测值：0.5987396240234375 真实值：0.596666667 误差：0.347422964628%
预测值：0.59747314453125 真实值：0.576111111 误差：3.70797110546%
预测值：0.6296234130859375 真实值：0.613333333 误差：2.6559913198%
预测值：0.5829620361328125 真实值：0.594444444 误差：1.93162001649%
预测值：-0.2914581298828125 真实值：0.46 误差：163.360463018%
预测值：0.6009521484375 真实值：0.597222222 误差：0.624545822325%
预测值：0.5652618408203125 真实值：0.560555556 误差：0.839575091164%
预测值：0.6194915771484375 真实值：0.641111111 误差：3.37219765507%
预测值：1.7203216552734375 真实值：0.52 误差：230.831087553%
预测值：0.6311492919921875 真实值：0.601111111 误差：4.99710959297%
预测值：0.6363067626953125 真实值：0.639444444 误差：0.490688649206%
预测值：0.5864410400390625 真实值：0.562777778 误差：4.20472573085%
预测值：0.5803375244140625 真实值：0.599444444 误差：3.18743793144%
预测值：0.6355133056640625 真实值：0.638333333 误差：0.441779739542%
预测值：0.606353759765625 真实值：0.577222222 误差：5.04684966298%
预测值：0.6412200927734375 真实值：0.636111111 误差：0.803158706882%
预测值：0.6151275634765625 真实值：0.614444444 误差：0.111176768418%
预测值：0.618621826171875 真实值：0.627222222 误差：1.37118799788%
预测值：0.5821075439453125 真实值：0.603888889 误差：3.60684646653%
预测值：1.22222900390625 真实值：0.476666667 误差：156.411678962%
预测值：0.5774078369140625 真实值：0.566666667 误差：1.89550057195%
预测值：0.632110595703125 真实值：0.643888889 误差：1.82924313466%
预测值：0.322174072265625 真实值：0.466666667 误差：30.9626988495%
预测值：0.59234619140625 真实值：0.578888889 误差：2.32467795841%
预测值：0.61968994140625 真实值：0.583333333 误差：6.23256144463%
预测值：0.5803375244140625 真实值：0.545555556 误差：6.37551355339%
预测值：0.5915679931640625 真实值：0.601666667 误差：1.6784499441%
预测值：0.6313323974609375 真实值：0.63 误差：0.211491660466%
预测值：1.1023712158203125 真实值：0.496666667 误差：121.953935922%
预测值：0.57562255859375 真实值：0.590555556 误差：2.52863549492%
预测值：0.62548828125 真实值：0.64 误差：2.26745605469%
预测值：0.6274871826171875 真实值：0.599444444 误差：4.67812136685%
预测值：0.5938873291015625 真实值：0.608888889 误差：2.46375983689%
预测值：0.6172637939453125 真实值：0.595 误差：3.74181410846%
预测值：0.5989532470703125 真实值：0.590555556 误差：1.42199848685%
预测值：-1.154815673828125 真实值：0.463333333 误差：349.240793092%
预测值：0.5829315185546875 真实值：0.592222222 误差：1.56878669867%
预测值：0.6435394287109375 真实值：0.639444444 误差：0.64039726193%
预测值：0.597137451171875 真实值：0.57 误差：4.76095634594%
预测值：0.5466156005859375 真实值：0.567222222 误差：3.63290093632%
预测值：0.6070404052734375 真实值：0.584444444 误差：3.86622911817%
预测值：0.5546875 真实值：0.532222222 误差：4.22103344644%
预测值：0.5544281005859375 真实值：0.549444444 误差：0.907035577547%
预测值：0.5949859619140625 真实值：0.582222222 误差：2.19224540592%
预测值：0.638092041015625 真实值：0.638888889 误差：0.124724032315%
预测值：0.6167755126953125 真实值：0.630555556 误差：2.1853813155%
预测值：-0.576873779296875 真实值：0.456666667 误差：226.322725301%
预测值：0.5915679931640625 真实值：0.588888889 误差：0.454942216453%
预测值：0.5924530029296875 真实值：0.583888889 误差：1.46673692393%
预测值：0.6123809814453125 真实值：0.602777778 误差：1.59315817467%
预测值：0.5680389404296875 真实值：0.578333333 误差：1.78001024373%
预测值：0.5669097900390625 真实值：0.541666667 误差：4.66026886588%
预测值：0.6022186279296875 真实值：0.562777778 误差：7.00824578928%
预测值：0.5819549560546875 真实值：0.580555556 误差：0.241044985312%
预测值：0.6361541748046875 真实值：0.62 误差：2.60551206527%
预测值：0.5885467529296875 真实值：0.632777778 误差：6.9899776206%
预测值：0.5894012451171875 真实值：0.57 误差：3.40372721354%
预测值：0.633544921875 真实值：0.586666667 误差：7.99061162188%
预测值：0.5972747802734375 真实值：0.596666667 误差：0.101918425659%
预测值：0.6557769775390625 真实值：0.646111111 误差：1.49600685927%
预测值：1.24591064453125 真实值：0.556666667 误差：123.816283315%
预测值：0.5967559814453125 真实值：0.605 误差：1.36264769499%
预测值：0.6365814208984375 真实值：0.635555556 误差：0.161412309082%
预测值：0.558135986328125 真实值：0.556111111 误差：0.36411344569%
预测值：0.5835113525390625 真实值：0.581111111 误差：0.413043477164%
预测值：0.5598297119140625 真实值：0.550555556 误差：1.68450864095%
预测值：0.5615234375 真实值：0.580555556 误差：3.27825964342%
预测值：0.6217041015625 真实值：0.595555556 误差：4.39061399043%
预测值：-0.5174102783203125 真实值：0.456666667 误差：213.301520717%
预测值：0.641845703125 真实值：0.663888889 误差：3.32031251618%
预测值：0.5864410400390625 真实值：0.601111111 误差：2.44049239691%
预测值：0.6068115234375 真实值：0.586111111 误差：3.53182392366%
预测值：0.614044189453125 真实值：0.595555556 误差：3.10443471929%
预测值：0.5651092529296875 真实值：0.587222222 误差：3.76569009855%
预测值：0.5772552490234375 真实值：0.6 误差：3.79079182943%
预测值：0.5580902099609375 真实值：0.581666667 误差：4.05325908749%
预测值：0.578887939453125 真实值：0.577222222 误差：0.288574727313%
预测值：0.6485595703125 真实值：0.651666667 误差：0.476792330319%
预测值：0.5671234130859375 真实值：0.576666667 误差：1.65489952171%
预测值：0.5504150390625 真实值：0.553888889 误差：0.627174512161%
预测值：0.5705413818359375 真实值：0.549444444 误差：3.83968535242%
预测值：0.6431884765625 真实值：0.601111111 误差：6.99993142574%
预测值：0.5661163330078125 真实值：0.545 误差：3.87455651519%
