预测值：9.347443778786392 真实值：0.543333333 误差：1620.3884266%
预测值：7.350087236543864 真实值：0.656666667 误差：1019.30262429%
预测值：27.00753708155191 真实值：0.572777778 误差：4615.1859096%
预测值：18.538804663359947 真实值：0.551666667 误差：3260.50839616%
预测值：1.6093413310182494 真实值：0.62 误差：159.571182422%
预测值：5.536143393689208 真实值：0.539444444 误差：926.267571251%
预测值：29.124232572703995 真实值：0.631666667 误差：4510.69644707%
预测值：21.840577784083344 真实值：0.638333333 误差：3321.50043794%
预测值：5.798284983603999 真实值：0.588888889 误差：884.614430992%
预测值：24.837518801796655 真实值：0.611111111 误差：3964.32125921%
预测值：5.657246933726192 真实值：0.587222222 误差：863.391152749%
预测值：7.596021976008679 真实值：0.539444444 误差：1308.11941999%
预测值：15.122390134086068 真实值：0.646111111 误差：2240.52469871%
预测值：16.10861150775174 真实值：0.591111111 误差：2625.14104506%
预测值：28.34220492018546 真实值：0.590555556 误差：4699.24447958%
预测值：14.119637640190327 真实值：0.639444444 误差：2108.11014509%
预测值：24.41055824442953 真实值：0.546666667 误差：4365.3460176%
预测值：20.961075637789072 真实值：0.61 误差：3336.24190783%
预测值：41.571782624409316 真实值：0.562777778 误差：7286.89128276%
预测值：26.00652457090502 真实值：0.522222222 误差：4879.97279229%
预测值：15.64118318468747 真实值：0.502777778 误差：3010.95356022%
预测值：3.2449729626401402 真实值：0.541666667 误差：499.071931196%
预测值：17.699411317266886 真实值：0.591666667 误差：2891.44979842%
预测值：13.802886819080705 真实值：0.575 误差：2300.50205549%
预测值：-58.57273304239873 真实值：0.515 误差：11473.3462218%
预测值：27.806603601164916 真实值：0.567222222 误差：4802.24157705%
预测值：17.46967808406766 真实值：0.549444444 误差：3079.51674184%
预测值：10.92587701219697 真实值：0.603333333 误差：1710.9188428%
预测值：-20.819268549544567 真实值：0.506666667 误差：4209.06615839%
预测值：7.105320487620766 真实值：0.640555556 误差：1009.24344049%
预测值：24.723581663661726 真实值：0.532222222 误差：4545.34937507%
预测值：-16.586739966667146 真实值：0.575 误差：2984.65042899%
预测值：-0.0845750465704715 真实值：0.618888889 误差：113.665626912%
预测值：0.7258014166877227 真实值：0.468333333 误差：54.9753915739%
预测值：1.695999420279413 真实值：0.541666667 误差：213.10758509%
预测值：13.54369431570337 真实值：0.58 误差：2235.1197096%
预测值：16.08742220770086 真实值：0.648333333 误差：2381.35047033%
预测值：29.435977264993717 真实值：0.608888889 误差：4734.37582731%
预测值：31.614221589078007 真实值：0.565555556 误差：5489.94094456%
预测值：18.114510972371427 真实值：0.599444444 误差：2921.8832043%
预测值：11.746219885772753 真实值：0.629444444 误差：1766.12496111%
预测值：-16.256748352472577 真实值：0.563333333 误差：2985.81331871%
预测值：29.68413316049766 真实值：0.580555556 误差：5013.05642565%
预测值：14.171354794567442 真实值：0.637777778 误差：2121.98942695%
预测值：17.13525398181975 真实值：0.606111111 误差：2727.08131741%
预测值：42.27488279540041 真实值：0.570555556 误差：7309.42443743%
预测值：0.9322093881051567 真实值：0.581111111 误差：60.4184415784%
预测值：11.414964558363017 真实值：0.633333333 误差：1702.36282595%
预测值：18.651654557009415 真实值：0.590555556 误差：3058.32344095%
预测值：11.581702908000189 真实值：0.566666667 误差：1943.82992374%
预测值：16.551719461663716 真实值：0.549444444 误差：2912.44641609%
预测值：33.092204517617866 真实值：0.563333333 误差：5774.35583501%
预测值：-45.37817480144138 真实值：0.618333333 误差：7438.78838155%
预测值：13.2802567830799 真实值：0.571666667 误差：2223.07698694%
预测值：14.312089197424093 真实值：0.646666667 误差：2113.20966856%
预测值：36.41351455141973 真实值：0.614444444 误差：5826.25011211%
预测值：5.943220320185851 真实值：0.539444444 误差：1001.72982339%
预测值：20.195269735662528 真实值：0.564444444 误差：3477.90212134%
预测值：41.7996960844609 真实值：0.580555556 误差：7099.9476454%
预测值：34.84747539499376 真实值：0.522222222 误差：6572.92082316%
预测值：23.925002306782808 真实值：0.649444444 误差：3583.91823624%
预测值：4.417161436481543 真实值：0.593888889 误差：643.768997585%
预测值：17.797805163138555 真实值：0.575555556 误差：2992.28274796%
预测值：-4.559603120353522 真实值：0.632777778 误差：820.569412972%
预测值：10.019950589765877 真实值：0.578333333 误差：1632.55629894%
预测值：-3.0367328138553877 真实值：0.604444444 误差：602.40064972%
预测值：11.656987273088767 真实值：0.537777778 误差：2067.62159947%
预测值：20.589501380419115 真实值：0.594444444 误差：3363.65444042%
