预测值：0.5460138890749999 真实值：0.543333333 误差：0.493353879137%
预测值：0.63876481496 真实值：0.656666667 误差：2.72617036004%
预测值：0.5823407407 真实值：0.572777778 误差：1.66957641642%
预测值：0.5474198414200001 真实值：0.551666667 误差：0.769817325215%
预测值：0.6057962963000001 真实值：0.62 误差：2.29091995161%
预测值：0.5762833333499999 真实值：0.539444444 误差：6.82904231562%
预测值：0.61496666684 真实值：0.631666667 误差：2.64379949623%
预测值：0.6306796296257142 真实值：0.638333333 误差：1.19901358407%
预测值：0.5806347884426191 真实值：0.588888889 误差：1.40163971703%
预测值：0.6251914021095238 真实值：0.611111111 误差：2.30404763652%
预测值：0.5793333333 真实值：0.587222222 误差：1.34342475548%
预测值：0.5905253967999999 真实值：0.539444444 误差：9.46917766383%
预测值：0.5981865078333333 真实值：0.646111111 误差：7.41739344066%
预测值：0.5805833333000001 真实值：0.591111111 误差：1.78101502477%
预测值：0.6095555554999998 真实值：0.590555556 误差：3.21730941432%
预测值：0.6331500000699999 真实值：0.639444444 误差：0.98436134508%
预测值：0.5503564815750001 真实值：0.546666667 误差：0.674966080381%
预测值：0.610347222 真实值：0.61 误差：0.0569216393443%
预测值：0.5417531745199999 真实值：0.562777778 误差：3.73586241353%
预测值：0.5444148148200001 真实值：0.522222222 误差：4.24964543543%
预测值：0.5604074074999998 真实值：0.502777778 误差：11.4622467463%
预测值：0.5688148147 真实值：0.541666667 误差：5.01196572615%
预测值：0.5862312169161905 真实值：0.591666667 误差：0.918667619281%
预测值：0.5763055556 真实值：0.575 误差：0.227053147826%
预测值：0.4829999998000001 真实值：0.515 误差：6.21359227184%
预测值：0.58320740754 真实值：0.567222222 误差：2.81815220208%
预测值：0.5783518518999999 真实值：0.549444444 误差：5.26120669991%
预测值：0.5824722222375 真实值：0.603333333 误差：3.45764266973%
预测值：0.5086666665999999 真实值：0.506666667 误差：0.394736762898%
预测值：0.6200833334 真实值：0.640555556 误差：3.19601046439%
预测值：0.5359629629333333 真实值：0.532222222 误差：0.702853202799%
预测值：0.50849305535 真实值：0.575 误差：11.5664251565%
预测值：0.6033163579333334 真实值：0.618888889 误差：2.51620789183%
预测值：0.48316666639999994 真实值：0.468333333 误差：3.16725980297%
预测值：0.5590079363285715 真实值：0.541666667 误差：3.20146510484%
预测值：0.5813222222800001 真实值：0.58 误差：0.227969358621%
预测值：0.6372437169636904 真实值：0.648333333 误差：1.71048062345%
预测值：0.61743888894 真实值：0.608888889 误差：1.40419707018%
预测值：0.5756481481666668 真实值：0.565555556 误差：1.78454478249%
预测值：0.5858620370333334 真实值：0.599444444 误差：2.26583248917%
预测值：0.62985648155 真实值：0.629444444 误差：0.0654605110789%
预测值：0.5155000002000001 真实值：0.563333333 误差：8.4911241707%
预测值：0.6057222222 真实值：0.580555556 误差：4.33492814596%
预测值：0.6352046297099999 真实值：0.637777778 误差：0.403455306654%
预测值：0.613400925945 真实值：0.606111111 误差：1.20271923954%
预测值：0.5762444445 真实值：0.570555556 误差：0.99707880156%
预测值：0.58625714275 真实值：0.581111111 误差：0.885550396919%
预测值：0.62474444454 真实值：0.633333333 误差：1.35614028387%
预测值：0.6302530865666668 真实值：0.590555556 误差：6.72206537782%
预测值：0.5650883598 真实值：0.566666667 误差：0.278524799836%
预测值：0.5781256613 真实值：0.549444444 误差：5.22003955326%
预测值：0.53670925935 真实值：0.563333333 误差：4.72616692291%
预测值：0.6195902776875 真实值：0.618333333 误差：0.203279464395%
预测值：0.5679537036458335 真实值：0.571666667 误差：0.649497962449%
